"ï»¿""Date """,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
03-Mar-23,377,385.4,376.1,375.55,385.3,384.95,382.31,394,210.8,8180709,3127554880,116737
02-Mar-23,379.5,379.75,374.7,378.7,375.85,375.55,376.22,394,210.8,5019603,1888498850,98330
01-Mar-23,374.25,380.4,373.6,376.7,378.6,378.7,378.58,394,210.8,7766667,2940311889,114616
28-Feb-23,382.5,384.25,375,382.2,376.5,376.7,377.55,394,210.8,16367477,6179566022,161521
27-Feb-23,385.1,386.8,378.1,385.1,382.2,382.2,381.68,394,210.8,8142319,3107756123,122227
24-Feb-23,389,389,381,387.6,385.25,385.1,384.56,394,207,12910220,4964754019,118753
23-Feb-23,384.45,394,383.1,383.85,387.4,387.6,389.74,394,207,18830592,7339108177,218500
22-Feb-23,382,384.9,380,382.25,384.15,383.85,383.28,388.2,207,8961077,3434625178,99507
21-Feb-23,385,385.9,381.7,384.05,383,382.25,384.08,388.2,207,8259574,3172325587,88576
20-Feb-23,384.7,387.5,381.3,383.4,383.9,384.05,384.12,388.2,207,7804976,2998018760,102345
17-Feb-23,381.05,384.55,379.25,382.55,383.3,383.4,382.91,388.2,207,7672135,2937749083,93699
16-Feb-23,382,385.25,381,382.2,382,382.55,383.66,388.2,207,9775280,3750425750,119906
15-Feb-23,381.75,382.85,378.55,386.45,382.1,382.2,380.58,388.2,207,12209350,4646631940,132308
14-Feb-23,375,387.65,373.75,374.2,385.95,386.45,383.62,388.2,207,29125052,11172825494,240562
13-Feb-23,373,375.15,370,371.35,374.1,374.2,372.74,388.2,207,9901148,3690548356,110887
10-Feb-23,372.2,376.95,370.3,374.25,371.2,371.35,372.27,388.2,207,10278597,3826370637,101423
09-Feb-23,374,380,372.15,375.55,374.8,374.25,375.49,388.2,207,11861196,4453808752,147407
08-Feb-23,374.75,377.3,371.55,373.25,374.55,375.55,375.12,388.2,207,10420462,3908964512,125965
07-Feb-23,383.9,383.9,368.45,383.4,373.4,373.25,373.66,388.2,207,20643707,7713764922,296046
06-Feb-23,382.5,388.2,379.6,380.65,383.5,383.4,384.59,388.2,207,25790153,9918627584,245965
03-Feb-23,381.9,382.25,372,378.6,380.7,380.65,378.53,384.7,207,22295321,8439463829,236606
02-Feb-23,361.6,384.7,360.4,361.4,378.8,378.6,376.87,384.7,207,55745171,21008522194,404278
01-Feb-23,353,365.7,329.1,352.35,359.6,361.4,353.75,365.7,207,64518967,22823821018,497986
31-Jan-23,346,355,341.05,344.8,352.6,352.35,348.73,361.45,207,17134291,5975279655,207015
30-Jan-23,346.9,351.75,341.85,346,343.8,344.8,347.04,361.45,207,14091519,4890259651,159810
27-Jan-23,341.8,348.85,341.5,339.25,345.5,346,345.5,361.45,207,21040139,7269287174,198362
25-Jan-23,338.9,341,335.25,338.95,340,339.25,338.13,361.45,207,12497542,4225848771,115825
24-Jan-23,337.8,340.75,337.6,337.75,338.9,338.95,339.02,361.45,207,12302874,4170878393,123629
23-Jan-23,336,338.15,333.05,334.6,337.6,337.75,336.68,361.45,207,7124807,2398812193,75270
20-Jan-23,332,335.2,329.25,332.15,334.45,334.6,332.68,361.45,207,13103664,4359276711,104023
19-Jan-23,334,335.65,331.65,334.65,332,332.15,333.21,361.45,207,8346130,2781000520,103560
18-Jan-23,334,336.55,332.4,332.25,335.1,334.65,334.37,361.45,207,12555527,4198130682,147165
17-Jan-23,330.2,333.5,329.1,330.2,332,332.25,331.64,361.45,207,13712537,4547671025,93294
16-Jan-23,330.35,332.2,327.55,328.75,330.2,330.2,329.11,361.45,207,8253942,2716469421,78391
13-Jan-23,329.85,332.25,326.4,329.85,329.1,328.75,329.58,361.45,207,14412671,4750157894,120029
12-Jan-23,333.4,333.6,328.1,331.8,329.5,329.85,329.95,361.45,207,6638422,2190337446,139430
11-Jan-23,335.1,335.1,331.3,333.4,332.1,331.8,332.82,361.45,207,4584293,1525745890,91438
10-Jan-23,337.9,338.4,332.55,338.05,333.7,333.4,333.83,361.45,207,6949605,2319978392,95343
09-Jan-23,336.95,341.3,336.15,335.05,337.4,338.05,338.82,361.45,207,10618786,3597812676,147547
06-Jan-23,334.7,337.55,333.1,333.45,335,335.05,335.48,361.45,207,8284135,2779124777,115819
05-Jan-23,328.65,333.9,328.2,327,333.6,333.45,332.2,361.45,207,8171437,2714547327,134902
04-Jan-23,331.85,332.5,326,331.1,326.6,327,327.48,361.45,207,6689769,2190748946,155935
03-Jan-23,331.5,333.35,330.25,332.85,331.2,331.1,331.36,361.45,207,5997051,1987185279,103134
02-Jan-23,330.9,334,329.65,331.55,332.8,332.85,332.25,361.45,207,5951893,1977534074,139495
30-Dec-22,335.4,336.75,330.5,335.35,331,331.55,333.91,361.45,207,6960264,2324123983,86886
29-Dec-22,334.35,335.75,331.55,334.4,335.45,335.35,333.6,361.45,207,8105359,2703980878,98175
28-Dec-22,332.85,335,331.5,333.15,334.35,334.4,332.76,361.45,207,7737562,2574744214,114100
27-Dec-22,335.6,336.4,330.15,334.6,333.05,333.15,333.36,361.45,207,6727343,2242627265,122372
26-Dec-22,326.5,335.1,325.5,326.7,334.6,334.6,332.83,361.45,207,9566210,3183941256,183864
23-Dec-22,330.9,331.9,325.35,332.45,326.05,326.7,327.9,361.45,207,10073884,3303219426,187134
22-Dec-22,335.65,337.4,329.9,335.15,332.8,332.45,332.77,361.45,207,6584445,2191082235,101460
21-Dec-22,341,341.25,334.5,340.15,335.7,335.15,336.78,361.45,207,7045201,2372658454,127807
20-Dec-22,340.05,340.95,336.75,340.5,339.9,340.15,338.61,361.45,207,5482218,1856320822,80370
19-Dec-22,336.8,342.35,335.35,335.1,340.05,340.5,339.82,361.45,207,7812801,2654927436,110172
16-Dec-22,337.5,338.9,331.3,338.85,335.75,335.1,334.49,361.45,207,12429280,4157423587,207367
15-Dec-22,344.75,346.1,338,345.4,338.7,338.85,341.22,361.45,207,8154931,2782665992,112979
14-Dec-22,346,347.35,343.75,345.6,345.1,345.4,345.47,361.45,207,7379878,2549557385,128069
13-Dec-22,344.5,346,342.4,343.2,345.05,345.6,344.45,361.45,207,10693426,3683297886,129845
12-Dec-22,341,344,340.1,341.4,343.25,343.2,342.63,361.45,207,11214662,3842454920,147074
09-Dec-22,339.75,342.5,338,338.4,342,341.4,340.59,361.45,207,8132228,2769725918,104951
08-Dec-22,340.2,342.15,337.5,340.1,338.3,338.4,339.3,361.45,207,6200447,2103841069,135480
07-Dec-22,338.5,341.5,336.65,337.3,340,340.1,339.89,361.45,207,9813208,3335393156,117952
06-Dec-22,334.1,338.2,334.1,336.75,337.6,337.3,337.05,361.45,207,6327430,2132640560,82974
05-Dec-22,337.65,338.85,334.15,337.15,336.6,336.75,335.88,361.45,207,9716390,3263564731,131793
02-Dec-22,339.35,340.8,336.75,339.55,337.5,337.15,337.85,361.45,207,8388835,2834182902,104028
01-Dec-22,341.7,341.7,336.8,340,339.7,339.55,338.75,361.45,207,16630417,5633556147,183326
30-Nov-22,341.25,344.15,339,342.3,340.3,340,340.54,361.45,207,22556502,7681480499,139387
29-Nov-22,340,345,340,340.05,342.45,342.3,342.94,361.45,207,10189855,3494496987,115645
28-Nov-22,340,341.75,338.75,340.3,339.95,340.05,340.43,361.45,207,9902739,3371223380,103017
